ticker,date,period_ending,estimate,reported,surprise,surprise%
AXS,2021-04-28,21-Mar,0.65,0.97,0.32,49.23
AXTA,2021-04-26,21-Mar,0.42,0.5,0.08,19.05
AYI,2021-03-31,21-Feb,1.69,2.12,0.43,25.44
AYX,2021-05-04,21-Mar,-0.23,-0.08,0.15,65.22
AZO,2021-03-02,21-Feb,13.07,14.93,1.86,14.23
AZPN,2021-04-28,21-Mar,1.16,1.05,-0.11,-9.48
BA,2021-04-28,21-Mar,-1.17,-1.53,-0.36,-30.77
BAC,2021-04-15,21-Mar,0.65,0.86,0.21,32.31
BAH,2021-05-21,21-Mar,0.82,0.89,0.07,8.54
BAX,2021-04-29,21-Mar,0.64,0.76,0.12,18.75
BBY,2021-05-27,21-Apr,1.45,2.23,0.78,53.79
BC,2021-04-29,21-Mar,1.45,2.24,0.79,54.48
BDX,2021-05-06,21-Mar,3.04,3.19,0.15,4.93
BEN,2021-05-04,21-Mar,0.74,0.79,0.05,6.76
BERY,2021-05-04,21-Mar,1.31,1.59,0.28,21.37
BFAM,2021-05-05,21-Mar,0.1,0.23,0.13,130
BG,2021-05-04,21-Mar,1.55,3.13,1.58,101.94
BHF,2021-05-10,21-Mar,2.42,4.86,2.44,100.83
BIIB,2021-04-22,21-Mar,5.06,5.34,0.28,5.53
BILL,2021-05-06,21-Mar,-0.08,-0.02,0.06,75
BIO,2021-04-29,21-Mar,2.5,5.21,2.71,108.4
BK,2021-04-16,21-Mar,0.87,0.97,0.1,11.49
BKI,2021-05-06,21-Mar,0.51,0.56,0.05,9.8
BKNG,2021-05-05,21-Mar,-7.26,-5.26,2,27.55
BKR,2021-04-21,21-Mar,0.11,0.12,0.01,9.09
BLD,2021-05-06,21-Mar,1.93,2.02,0.09,4.66
BLDR,2021-05-06,21-Mar,0.81,1.1,0.29,35.8
BLK,2021-04-15,21-Mar,7.64,7.77,0.13,1.7
BLL,2021-05-06,21-Mar,0.67,0.72,0.05,7.46
BMRN,2021-04-29,21-Mar,0.32,0.56,0.24,75
BMY,2021-04-29,21-Mar,1.8,1.74,-0.06,-3.33
BOH,2021-04-26,21-Mar,1.18,1.5,0.32,27.12
BOKF,2021-04-21,21-Mar,1.92,2.1,0.18,9.38
BPOP,2021-04-28,21-Mar,1.91,3.12,1.21,63.35
BR,2021-05-04,21-Mar,1.67,1.76,0.09,5.39
BRKR,2021-05-05,21-Mar,0.32,0.44,0.12,37.5
BRKS,2021-05-10,21-Mar,0.51,0.69,0.18,35.29
BRO,2021-04-26,21-Mar,0.56,0.7,0.14,25
BRX,2021-05-03,21-Mar,0.4,0.18,-0.22,-55
BSX,2021-04-28,21-Mar,0.3,0.37,0.07,23.33
BURL,2021-05-27,21-Apr,0.92,2.59,1.67,181.52
BWA,2021-05-05,21-Mar,0.92,1.21,0.29,31.52
BWXT,2021-05-03,21-Mar,0.71,0.73,0.02,2.82
BX,2021-04-22,21-Mar,0.72,0.96,0.24,33.33
BXP,2021-04-27,21-Mar,1.55,0.59,-0.96,-61.94
BYD,2021-04-27,21-Mar,0.44,0.93,0.49,111.36
BYND,2021-05-06,21-Mar,-0.27,-0.42,-0.15,-55.56
C,2021-04-15,21-Mar,2.56,3.62,1.06,41.41
CABO,2021-05-06,21-Mar,10.22,11.19,0.97,9.49
CACC,2021-04-29,21-Mar,8.44,11.82,3.38,40.05
CACI,2021-04-21,21-Mar,3.69,5.28,1.59,43.09
CAG,2021-04-08,21-Feb,0.58,0.59,0.01,1.72
CAH,2021-05-06,21-Mar,1.58,1.53,-0.05,-3.16
CARR,2021-04-29,21-Mar,0.38,0.48,0.1,26.32
CASY,2021-06-08,21-Apr,0.67,1.12,0.45,67.16
CAT,2021-04-29,21-Mar,1.93,2.87,0.94,48.7
CB,2021-04-27,21-Mar,2.45,2.52,0.07,2.86
CBOE,2021-04-30,21-Mar,1.39,1.53,0.14,10.07
CBRE,2021-04-29,21-Mar,0.7,0.86,0.16,22.86
CBSH,2021-04-15,21-Mar,0.96,1.11,0.15,15.63
CC,2021-05-03,21-Mar,0.68,0.71,0.03,4.41
CCI,2021-04-21,21-Mar,1.61,0.28,-1.33,-82.61
CCK,2021-04-19,21-Mar,1.39,1.83,0.44,31.65
CCL,2021-04-07,21-Feb,-1.66,-1.79,-0.13,-7.83
CDAY,2021-05-05,21-Mar,0.09,0.09,0,0
CDK,2021-05-06,21-Mar,0.68,0.69,0.01,1.47
CDNS,2021-04-26,21-Mar,0.74,0.83,0.09,12.16
CDW,2021-05-05,21-Mar,1.54,1.74,0.2,12.99
CE,2021-04-22,21-Mar,3.01,3.46,0.45,14.95
CERN,2021-05-05,21-Mar,0.74,0.76,0.02,2.7
CF,2021-05-05,21-Mar,0.57,0.7,0.13,22.81
CFG,2021-04-16,21-Mar,0.97,1.41,0.44,45.36
CFR,2021-04-29,21-Mar,1.42,1.77,0.35,24.65
CFX,2021-04-29,21-Mar,0.39,0.44,0.05,12.82
CG,2021-04-29,21-Mar,0.54,0.58,0.04,7.41
CGNX,2021-05-06,21-Mar,0.35,0.39,0.04,11.43
CHD,2021-04-29,21-Mar,0.8,0.83,0.03,3.75
CHDN,2021-04-21,21-Mar,0.56,0.87,0.31,55.36
CHE,2021-04-27,21-Mar,4.2,4.44,0.24,5.71
CHGG,2021-05-03,21-Mar,0.31,0.28,-0.03,-9.68
CHH,2021-05-10,21-Mar,0.63,0.57,-0.06,-9.52
CHNG,2021-05-26,21-Mar,0.37,0.42,0.05,13.51
CHRW,2021-04-27,21-Mar,0.97,1.28,0.31,31.96
CHTR,2021-04-30,21-Mar,4.34,4.11,-0.23,-5.3
CI,2021-05-07,21-Mar,4.42,4.73,0.31,7.01
CIEN,2021-06-03,21-Apr,0.48,0.62,0.14,29.17
CINF,2021-04-28,21-Mar,1.05,1.37,0.32,30.48
CL,2021-04-30,21-Mar,0.8,0.8,0,0
CLF,2021-04-22,21-Mar,0.33,0.35,0.02,6.06
CLH,2021-05-05,21-Mar,0.26,0.42,0.16,61.54
CLR,2021-04-28,21-Mar,0.52,0.77,0.25,48.08
CLX,2021-04-30,21-Mar,1.47,1.62,0.15,10.2
CMA,2021-04-20,21-Mar,1.38,2.43,1.05,76.09
CMCSA,2021-04-29,21-Mar,0.59,0.76,0.17,28.81
CME,2021-04-28,21-Mar,1.75,1.79,0.04,2.29
CMG,2021-04-21,21-Mar,4.92,5.36,0.44,8.94
CMI,2021-05-04,21-Mar,3.46,4.04,0.58,16.76
CMS,2021-04-29,21-Mar,1.17,1.21,0.04,3.42
CNA,2021-05-03,21-Mar,0.95,0.96,0.01,1.05
CNC,2021-04-27,21-Mar,1.65,1.63,-0.02,-1.21
CNP,2021-05-06,21-Mar,0.5,0.59,0.09,18
CNXC,2021-03-24,21-Feb,2.03,2.29,0.26,12.81
COF,2021-04-27,21-Mar,4.17,7.03,2.86,68.59
COHR,2021-05-12,21-Mar,1.17,1.42,0.25,21.37
COLD,2021-05-06,21-Mar,0.31,-0.06,-0.37,-119.35
COLM,2021-04-29,21-Mar,0.33,0.84,0.51,154.55
COMM,2021-05-06,21-Mar,0.31,0.36,0.05,16.13
CONE,2021-04-28,21-Mar,0.98,0.15,-0.83,-84.69
COO,2021-06-03,21-Apr,3.12,3.38,0.26,8.33
COP,2021-05-04,21-Mar,0.57,0.69,0.12,21.05
COR,2021-04-29,21-Mar,1.33,0.51,-0.82,-61.65
COST,2021-03-04,21-Feb,2.42,2.14,-0.28,-11.57
COUP,2021-06-07,21-Apr,-0.19,0.07,0.26,136.84
CPA,2021-05-05,21-Mar,-2.25,-2.23,0.02,0.89
CPB,2021-06-09,21-Apr,0.66,0.57,-0.09,-13.64
CPRI,2021-05-26,21-Mar,-0.01,0.38,0.39,3900
CPRT,2021-05-19,21-Apr,0.8,1.09,0.29,36.25
CPT,2021-04-29,21-Mar,1.23,0.31,-0.92,-74.8
CR,2021-05-03,21-Mar,1.31,1.66,0.35,26.72
CRI,2021-04-30,21-Mar,0.27,1.98,1.71,633.33
CRL,2021-05-04,21-Mar,2.19,2.53,0.34,15.53
CRM,2021-05-27,21-Apr,0.88,1.21,0.33,37.5
CRUS,2021-04-29,21-Mar,0.69,0.66,-0.03,-4.35
CRWD,2021-06-03,21-Apr,0.06,0.1,0.04,66.67
CSCO,2021-05-19,21-Apr,0.82,0.83,0.01,1.22
CSGP,2021-04-27,21-Mar,0.24,0.28,0.04,16.67
CSL,2021-04-22,21-Mar,0.68,1.47,0.79,116.18
CSX,2021-04-20,21-Mar,0.32,0.31,-0.01,-3.13
CTAS,2021-03-17,21-Feb,2.21,2.37,0.16,7.24
CTLT,2021-05-04,21-Mar,0.76,0.82,0.06,7.89
CTSH,2021-05-05,21-Mar,0.94,0.97,0.03,3.19
CTVA,2021-05-04,21-Mar,0.67,0.79,0.12,17.91
CTXS,2021-04-29,21-Mar,1.42,1.42,0,0
CUBE,2021-04-29,21-Mar,0.45,0.21,-0.24,-53.33
CUZ,2021-04-29,21-Mar,0.7,0.2,-0.5,-71.43
CVNA,2021-05-06,21-Mar,-0.7,-0.46,0.24,34.29
CVS,2021-05-04,21-Mar,1.72,2.04,0.32,18.6
CVX,2021-04-30,21-Mar,0.92,0.9,-0.02,-2.17
CW,2021-05-05,21-Mar,1.3,1.51,0.21,16.15
CZR,2021-05-04,21-Mar,-1.69,-2.06,-0.37,-21.89
D,2021-05-04,21-Mar,1.08,1.09,0.01,0.93
DAL,2021-04-15,21-Mar,-3.08,-3.55,-0.47,-15.26
DAR,2021-05-11,21-Mar,0.57,0.9,0.33,57.89
DBX,2021-05-06,21-Mar,0.3,0.35,0.05,16.67
DCI,2021-06-02,21-Apr,0.58,0.66,0.08,13.79
DCT,2021-04-05,21-Feb,-0.03,0.01,0.04,133.33
DD,2021-05-04,21-Mar,0.77,0.91,0.14,18.18
DDOG,2021-05-06,21-Mar,0.03,0.06,0.03,100
DE,2021-05-21,21-Apr,4.44,5.68,1.24,27.93
DECK,2021-05-20,21-Mar,0.58,1.18,0.6,103.45
DEI,2021-05-04,21-Mar,0.43,0.06,-0.37,-86.05
DELL,2021-05-27,21-Apr,1.55,2.13,0.58,37.42
DFS,2021-04-21,21-Mar,2.88,5.04,2.16,75
DG,2021-05-27,21-Apr,2.14,2.82,0.68,31.78
DGX,2021-04-22,21-Mar,3.77,3.76,-0.01,-0.27
DHI,2021-04-22,21-Mar,2.2,2.53,0.33,15
DHR,2021-04-22,21-Mar,1.67,2.52,0.85,50.9
DIS,2021-05-13,21-Mar,0.29,0.79,0.5,172.41
DISCA,2021-04-28,21-Mar,0.61,0.21,-0.4,-65.57
DISCK,2021-04-28,21-Mar,0.61,0.21,-0.4,-65.57
DISH,2021-04-29,21-Mar,0.83,0.99,0.16,19.28
DKNG,2021-05-07,21-Mar,-0.51,-0.87,-0.36,-70.59
DKS,2021-05-26,21-Apr,1.04,3.79,2.75,264.42
DLB,2021-05-04,21-Mar,0.67,0.91,0.24,35.82
DLR,2021-04-29,21-Mar,1.59,1.5,-0.09,-5.66
DLTR,2021-05-27,21-Apr,1.4,1.6,0.2,14.29
DNB,2021-05-05,21-Mar,0.21,0.23,0.02,9.52
DOCU,2021-06-03,21-Apr,0.27,0.44,0.17,62.96
DOV,2021-04-20,21-Mar,1.47,1.81,0.34,23.13
DOW,2021-04-22,21-Mar,1.1,1.36,0.26,23.64
DOX,2021-05-12,21-Mar,1.14,1.13,-0.01,-0.88
DPZ,2021-04-29,21-Mar,2.94,3,0.06,2.04
DRE,2021-04-28,21-Mar,0.39,0.21,-0.18,-46.15
DRI,2021-03-25,21-Feb,0.72,0.98,0.26,36.11
DT,2021-05-12,21-Mar,0.14,0.15,0.01,7.14
DTE,2021-04-27,21-Mar,2.16,2.44,0.28,12.96
DUK,2021-05-10,21-Mar,1.24,1.26,0.02,1.61
DV,2021-05-25,21-Mar,0.07,0.04,-0.03,-42.86
DVA,2021-04-29,21-Mar,1.8,2.09,0.29,16.11
DVN,2021-05-04,21-Mar,0.35,0.45,0.1,28.57
DXC,2021-05-26,21-Mar,0.7,0.74,0.04,5.71
DXCM,2021-04-29,21-Mar,0.31,0.33,0.02,6.45
EA,2021-05-11,21-Mar,1.04,1.03,-0.01,-0.96
EBAY,2021-04-28,21-Mar,1.07,1.09,0.02,1.87
ECL,2021-04-27,21-Mar,0.82,0.81,-0.01,-1.22
ED,2021-05-06,21-Mar,1.36,1.43,0.07,5.15
EEFT,2021-04-28,21-Mar,0.35,0.23,-0.12,-34.29
EFX,2021-04-21,21-Mar,1.52,1.97,0.45,29.61
EHC,2021-04-27,21-Mar,0.8,1.05,0.25,31.25
EIX,2021-04-27,21-Mar,0.76,0.79,0.03,3.95
EL,2021-05-03,21-Mar,1.29,1.62,0.33,25.58
ELAN,2021-05-07,21-Mar,0.23,0.37,0.14,60.87
ELS,2021-04-19,21-Mar,0.6,0.36,-0.24,-40
EMN,2021-04-29,21-Mar,2.03,2.13,0.1,4.93
EMR,2021-05-05,21-Mar,0.9,0.97,0.07,7.78
ENPH,2021-04-27,21-Mar,0.41,0.56,0.15,36.59
ENTG,2021-04-27,21-Mar,0.72,0.7,-0.02,-2.78
EOG,2021-05-06,21-Mar,1.44,1.62,0.18,12.5
EPAM,2021-05-06,21-Mar,1.68,1.81,0.13,7.74
EPR,2021-05-05,21-Mar,0.44,-0.04,-0.48,-109.09
EQH,2021-05-05,21-Mar,1.23,1.13,-0.1,-8.13
EQIX,2021-04-28,21-Mar,6.63,4.07,-2.56,-38.61
EQR,2021-04-27,21-Mar,0.68,0.15,-0.53,-77.94
EQT,2021-05-05,21-Mar,0.27,0.3,0.03,11.11
ERIE,2021-04-29,21-Mar,1.41,1.41,0,0
ES,2021-05-10,21-Mar,1.1,1.15,0.05,4.55
ESI,2021-04-28,21-Mar,0.32,0.37,0.05,15.63
ESS,2021-04-27,21-Mar,3.04,2.43,-0.61,-20.07
ESTC,2021-06-02,21-Apr,-0.16,-0.08,0.08,50
ETN,2021-05-04,21-Mar,1.25,1.44,0.19,15.2
ETR,2021-04-28,21-Mar,1.19,1.47,0.28,23.53
ETSY,2021-05-05,21-Mar,0.84,1,0.16,19.05
EVBG,2021-05-10,21-Mar,-0.11,0.18,0.29,263.64
EVR,2021-04-28,21-Mar,2.63,3.29,0.66,25.1
EVRG,2021-05-06,21-Mar,0.47,0.55,0.08,17.02
EW,2021-04-20,21-Mar,0.47,0.54,0.07,14.89
EWBC,2021-04-22,21-Mar,1.23,1.44,0.21,17.07
EXAS,2021-05-04,21-Mar,-1.04,-0.18,0.86,82.69
EXC,2021-05-05,21-Mar,0.34,-0.06,-0.4,-117.65
EXP,2021-05-19,21-Mar,1.31,1.56,0.25,19.08
EXPD,2021-05-04,21-Mar,1,1.67,0.67,67
EXPE,2021-05-06,21-Mar,-2.52,-2.02,0.5,19.84
EXR,2021-04-28,21-Mar,1.49,1.53,0.04,2.68
F,2021-04-28,21-Mar,0.16,0.89,0.73,456.25
FAF,2021-04-22,21-Mar,1.29,1.64,0.35,27.13
FANG,2021-05-03,21-Mar,1.73,2.3,0.57,32.95
FAST,2021-04-13,21-Mar,0.37,0.37,0,0
FB,2021-04-28,21-Mar,2.36,3.3,0.94,39.83
FBHS,2021-04-29,21-Mar,1.04,1.36,0.32,30.77
FCN,2021-04-29,21-Mar,1.18,1.89,0.71,60.17
FCX,2021-04-22,21-Mar,0.51,0.51,0,0
FDS,2021-03-30,21-Feb,2.74,2.72,-0.02,-0.73
FDX,2021-03-18,21-Feb,3.21,3.47,0.26,8.1
FE,2021-04-22,21-Mar,0.68,0.69,0.01,1.47
FFIV,2021-04-27,21-Mar,2.39,2.5,0.11,4.6
FHB,2021-04-23,21-Mar,0.46,0.44,-0.02,-4.35
FHN,2021-04-21,21-Mar,0.37,0.51,0.14,37.84
FICO,2021-05-05,21-Mar,2.76,3.06,0.3,10.87
FIS,2021-05-06,21-Mar,1.25,1.3,0.05,4
FISV,2021-04-27,21-Mar,1.13,1.17,0.04,3.54
FITB,2021-04-20,21-Mar,0.69,0.93,0.24,34.78
FIVE,2021-06-03,21-Apr,0.66,0.88,0.22,33.33
FIVN,2021-04-29,21-Mar,0.13,0.23,0.1,76.92
FL,2021-05-21,21-Apr,1.14,1.96,0.82,71.93
FLO,2021-05-20,21-Mar,0.37,0.41,0.04,10.81
FLS,2021-05-03,21-Mar,0.2,0.28,0.08,40
FLT,2021-05-05,21-Mar,2.7,2.82,0.12,4.44
FMC,2021-05-05,21-Mar,1.52,1.53,0.01,0.66
FNB,2021-04-19,21-Mar,0.26,0.28,0.02,7.69
FND,2021-05-06,21-Mar,0.53,0.68,0.15,28.3
FNF,2021-05-06,21-Mar,1.28,1.56,0.28,21.88
FOXA,2021-05-05,21-Mar,0.58,0.88,0.3,51.72
FR,2021-04-21,21-Mar,0.46,0.48,0.02,4.35
FRC,2021-04-14,21-Mar,1.54,1.79,0.25,16.23
FRPT,2021-05-03,21-Mar,-0.02,-0.26,-0.24,-1200
FRT,2021-05-05,21-Mar,1.02,0.6,-0.42,-41.18
FSLR,2021-04-29,21-Mar,1,1.96,0.96,96
FSLY,2021-05-05,21-Mar,-0.11,-0.12,-0.01,-9.09
FTDR,2021-05-06,21-Mar,0.09,0.1,0.01,11.11
FTNT,2021-04-29,21-Mar,0.74,0.81,0.07,9.46
FTV,2021-04-29,21-Mar,0.6,0.63,0.03,5
FWONK,2021-05-07,21-Mar,-0.34,-0.2,0.14,41.18
G,2021-05-10,21-Mar,0.49,0.59,0.1,20.41
GD,2021-04-28,21-Mar,2.31,2.48,0.17,7.36
GDDY,2021-05-05,21-Mar,0.31,0.06,-0.25,-80.65
GE,2021-04-27,21-Mar,0.16,0.24,0.08,50
GGG,2021-04-21,21-Mar,0.5,0.58,0.08,16
GH,2021-05-06,21-Mar,-0.82,-0.49,0.33,40.24
GILD,2021-04-29,21-Mar,2.06,2.08,0.02,0.97
GIS,2021-03-24,21-Feb,0.84,0.82,-0.02,-2.38
GLOB,2021-05-13,21-Mar,0.81,0.83,0.02,2.47
GLPI,2021-04-29,21-Mar,0.83,0.54,-0.29,-34.94
GLW,2021-04-27,21-Mar,0.42,0.45,0.03,7.14
GM,2021-05-05,21-Mar,1.02,2.25,1.23,120.59
GME,2021-06-09,21-Apr,-0.67,-0.45,0.22,32.84
GMED,2021-05-04,21-Mar,0.36,0.49,0.13,36.11
GNRC,2021-04-29,21-Mar,1.9,2.38,0.48,25.26
GNTX,2021-04-23,21-Mar,0.49,0.46,-0.03,-6.12
GO,2021-05-11,21-Mar,0.22,0.23,0.01,4.55
GOOG,2021-04-27,21-Mar,15.66,26.29,10.63,67.88
GOOGL,2021-04-27,21-Mar,15.66,26.29,10.63,67.88
GPC,2021-04-22,21-Mar,1.21,1.5,0.29,23.97
GPK,2021-04-27,21-Mar,0.25,0.23,-0.02,-8
GPN,2021-05-04,21-Mar,1.77,1.82,0.05,2.82
GPS,2021-05-27,21-Apr,-0.02,0.48,0.5,2500
GRMN,2021-04-28,21-Mar,0.88,1.18,0.3,34.09
GS,2021-04-14,21-Mar,9.79,18.6,8.81,89.99
GTES,2021-05-10,21-Mar,0.32,0.33,0.01,3.13
GWRE,2021-06-02,21-Apr,-0.24,-0.16,0.08,33.33
GWW,2021-04-30,21-Mar,4.31,4.48,0.17,3.94
H,2021-05-04,21-Mar,-1.33,-3.57,-2.24,-168.42
HAIN,2021-05-06,21-Mar,0.38,0.44,0.06,15.79
HAL,2021-04-21,21-Mar,0.17,0.19,0.02,11.76
HAS,2021-04-27,21-Mar,0.64,1,0.36,56.25
HBAN,2021-04-22,21-Mar,0.33,0.48,0.15,45.45
HBI,2021-05-11,21-Mar,0.26,0.39,0.13,50
HCA,2021-04-22,21-Mar,3.35,4.14,0.79,23.58
HD,2021-05-18,21-Apr,3.04,3.86,0.82,26.97
HEI,2021-05-25,21-Apr,0.49,0.51,0.02,4.08
HES,2021-04-28,21-Mar,0.44,0.82,0.38,86.36
HFC,2021-05-05,21-Mar,-0.45,-0.53,-0.08,-17.78
HHC,2021-05-10,21-Mar,-0.57,-0.55,0.02,3.51
HIG,2021-04-22,21-Mar,0.75,0.56,-0.19,-25.33
HII,2021-05-06,21-Mar,2.52,3.68,1.16,46.03
HIW,2021-04-27,21-Mar,0.87,0.52,-0.35,-40.23
HLF,2021-05-04,21-Mar,1.06,1.42,0.36,33.96
HLT,2021-05-05,21-Mar,0.05,0.02,-0.03,-60
HOG,2021-04-19,21-Mar,0.79,1.68,0.89,112.66
HOLX,2021-04-28,21-Mar,2.62,2.59,-0.03,-1.15
HON,2021-04-23,21-Mar,1.8,1.92,0.12,6.67
HPE,2021-06-01,21-Apr,0.42,0.46,0.04,9.52
HPP,2021-05-05,21-Mar,0.45,0.03,-0.42,-93.33
HPQ,2021-05-27,21-Apr,0.89,0.93,0.04,4.49
HRB,2021-06-15,21-Apr,5.11,5.16,0.05,0.98
HRC,2021-04-30,21-Mar,1.43,1.73,0.3,20.98
HRL,2021-05-20,21-Apr,0.42,0.42,0,0
HSIC,2021-05-04,21-Mar,0.83,1.24,0.41,49.4
HST,2021-05-04,21-Mar,-0.15,-0.22,-0.07,-46.67
HSY,2021-04-29,21-Mar,1.81,1.92,0.11,6.08
HTA,2021-05-06,21-Mar,0.43,0.1,-0.33,-76.74
HUBB,2021-04-27,21-Mar,1.67,1.72,0.05,2.99
HUBS,2021-05-05,21-Mar,0.29,0.31,0.02,6.9
HUM,2021-04-28,21-Mar,7.21,7.67,0.46,6.38
HUN,2021-04-30,21-Mar,0.59,0.66,0.07,11.86
HXL,2021-04-19,21-Mar,-0.16,-0.1,0.06,37.5
HZNP,2021-05-05,21-Mar,0.07,0.03,-0.04,-57.14
IAA,2021-05-04,21-Mar,0.46,0.58,0.12,26.09
IAC,2021-05-06,21-Mar,-0.62,0.4,1.02,164.52
IART,2021-04-28,21-Mar,0.56,0.69,0.13,23.21
IBKR,2021-04-20,21-Mar,0.9,0.98,0.08,8.89
IBM,2021-04-19,21-Mar,1.67,1.77,0.1,5.99
ICE,2021-04-29,21-Mar,1.3,1.34,0.04,3.08
ICUI,2021-05-06,21-Mar,1.53,1.62,0.09,5.88
IDA,2021-04-29,21-Mar,0.83,0.89,0.06,7.23
IDXX,2021-05-04,21-Mar,1.72,2.35,0.63,36.63
IEX,2021-04-27,21-Mar,1.41,1.51,0.1,7.09
IFF,2021-05-10,21-Mar,1.51,1.6,0.09,5.96
ILMN,2021-04-27,21-Mar,1.36,1.89,0.53,38.97
INCY,2021-05-04,21-Mar,0.65,0.67,0.02,3.08
INFO,2021-03-23,21-Feb,0.7,0.71,0.01,1.43
INTC,2021-04-22,21-Mar,1.15,1.39,0.24,20.87
INTU,2021-05-25,21-Apr,6.04,6.07,0.03,0.5
INVH,2021-04-28,21-Mar,0.34,0.1,-0.24,-70.59
IONS,2021-05-05,21-Mar,-0.48,-0.64,-0.16,-33.33
IOVA,2021-05-06,21-Mar,-0.48,-0.51,-0.03,-6.25
IP,2021-04-29,21-Mar,0.59,0.76,0.17,28.81
IPG,2021-04-28,21-Mar,0.16,0.45,0.29,181.25
IPGP,2021-05-04,21-Mar,1.07,1.17,0.1,9.35
IQV,2021-04-22,21-Mar,1.85,2.18,0.33,17.84
IR,2021-04-28,21-Mar,0.36,0.45,0.09,25
IRM,2021-05-06,21-Mar,0.64,0.32,-0.32,-50
ISRG,2021-04-20,21-Mar,0.87,1.17,0.3,34.48
IT,2021-05-04,21-Mar,1.05,2,0.95,90.48
ITT,2021-05-07,21-Mar,0.87,1.06,0.19,21.84
ITW,2021-04-30,21-Mar,1.9,2.11,0.21,11.05
IVZ,2021-04-27,21-Mar,0.62,0.68,0.06,9.68
JAZZ,2021-05-04,21-Mar,3.69,3.92,0.23,6.23
JBGS,2021-05-04,21-Mar,0.31,-0.16,-0.47,-151.61
JBHT,2021-04-15,21-Mar,1.18,1.37,0.19,16.1
JBL,2021-03-16,21-Feb,0.95,1.27,0.32,33.68
JBLU,2021-04-27,21-Mar,-1.68,-1.48,0.2,11.9
JCI,2021-04-30,21-Mar,0.49,0.52,0.03,6.12
JEF,2021-03-24,21-Feb,1.08,2.14,1.06,98.15
JHG,2021-04-29,21-Mar,0.83,0.91,0.08,9.64
JKHY,2021-05-03,21-Mar,0.86,0.95,0.09,10.47
JLL,2021-05-05,21-Mar,0.6,2.1,1.5,250
JNJ,2021-04-20,21-Mar,2.31,2.59,0.28,12.12
JNPR,2021-04-27,21-Mar,0.25,0.3,0.05,20
JPM,2021-04-14,21-Mar,3.05,4.5,1.45,47.54
JWN,2021-05-25,21-Apr,-0.53,-0.64,-0.11,-20.75
K,2021-05-06,21-Mar,0.95,1.11,0.16,16.84
KDP,2021-04-29,21-Mar,0.31,0.33,0.02,6.45
KEX,2021-04-29,21-Mar,0.11,-0.06,-0.17,-154.55
KEY,2021-04-20,21-Mar,0.49,0.61,0.12,24.49
KEYS,2021-05-19,21-Apr,1.34,1.44,0.1,7.46
KHC,2021-04-29,21-Mar,0.6,0.72,0.12,20
KIM,2021-04-29,21-Mar,0.3,0.3,0,0
KKR,2021-05-04,21-Mar,0.62,0.75,0.13,20.97
KLAC,2021-04-29,21-Mar,3.59,3.85,0.26,7.24
KMB,2021-04-23,21-Mar,1.9,1.8,-0.1,-5.26
KMI,2021-04-21,21-Mar,0.23,0.6,0.37,160.87
KMPR,2021-04-29,21-Mar,1.23,1.31,0.08,6.5
KMX,2021-04-01,21-Feb,1.24,1.27,0.03,2.42
KNX,2021-04-21,21-Mar,0.7,0.83,0.13,18.57
KO,2021-04-19,21-Mar,0.5,0.55,0.05,10
KR,2021-06-17,21-Apr,0.99,1.19,0.2,20.2
KRC,2021-04-28,21-Mar,0.99,4.26,3.27,330.3
KSU,2021-04-16,21-Mar,2,1.91,-0.09,-4.5
LAD,2021-04-21,21-Mar,4.73,5.89,1.16,24.52
LAMR,2021-05-04,21-Mar,1.17,0.38,-0.79,-67.52
LAZ,2021-04-30,21-Mar,0.85,0.87,0.02,2.35
LBRDK,2021-05-07,21-Mar,1.37,0.83,-0.54,-39.42
LDOS,2021-05-04,21-Mar,1.49,1.73,0.24,16.11
LEA,2021-05-07,21-Mar,2.94,3.73,0.79,26.87
LECO,2021-04-27,21-Mar,1.18,1.37,0.19,16.1
LEG,2021-05-03,21-Mar,0.41,0.64,0.23,56.1
LEN,2021-03-16,21-Feb,1.65,2.04,0.39,23.64
LFUS,2021-04-28,21-Mar,1.92,2.67,0.75,39.06
LH,2021-04-29,21-Mar,7.32,8.79,1.47,20.08
LII,2021-04-26,21-Mar,1.29,2.27,0.98,75.97
LITE,2021-05-12,21-Mar,1.42,1.4,-0.02,-1.41
LKQ,2021-04-29,21-Mar,0.63,0.94,0.31,49.21
LLY,2021-04-27,21-Mar,2.12,1.87,-0.25,-11.79
LMT,2021-04-20,21-Mar,6.32,6.56,0.24,3.8
LNC,2021-05-05,21-Mar,1.48,1.82,0.34,22.97
LNG,2021-05-04,21-Mar,0.75,1.54,0.79,105.33
LNT,2021-05-06,21-Mar,0.67,0.68,0.01,1.49
LOPE,2021-05-05,21-Mar,1.67,1.72,0.05,2.99
LOW,2021-05-19,21-Apr,2.58,3.21,0.63,24.42
LPLA,2021-04-29,21-Mar,1.48,1.77,0.29,19.59
LPX,2021-05-04,21-Mar,2.76,3.01,0.25,9.06
LRCX,2021-04-21,21-Mar,6.56,7.49,0.93,14.18
LSI,2021-05-04,21-Mar,1.01,0.63,-0.38,-37.62
LSTR,2021-04-21,21-Mar,1.61,2.01,0.4,24.84
LSXMK,2021-05-07,21-Mar,0.27,-0.03,-0.3,-111.11
LULU,2021-06-03,21-Apr,0.91,1.16,0.25,27.47
LUV,2021-04-22,21-Mar,-1.82,-1.72,0.1,5.49
