ticker,date,period_ending,estimate,reported,surprise,surprise%
R,2021-04-28,21-Mar,0.58,1.09,0.51,87.93
RARE,2021-05-04,21-Mar,-1.25,-2.03,-0.78,-62.4
RCL,2021-04-29,21-Mar,-4.54,-4.44,0.1,2.2
RE,2021-04-28,21-Mar,4.59,6.49,1.9,41.39
REG,2021-05-06,21-Mar,0.75,0.47,-0.28,-37.33
REGN,2021-05-06,21-Mar,8.79,9.89,1.1,12.51
REXR,2021-04-21,21-Mar,0.34,0.19,-0.15,-44.12
REYN,2021-05-05,21-Mar,0.36,0.36,0,0
RF,2021-04-23,21-Mar,0.48,0.63,0.15,31.25
RGA,2021-05-06,21-Mar,0.07,-1.24,-1.31,-1871.43
RGEN,2021-05-04,21-Mar,0.43,0.68,0.25,58.14
RGLD,2021-05-05,21-Mar,0.81,0.84,0.03,3.7
RH,2021-06-09,21-Apr,4.2,4.89,0.69,16.43
RHI,2021-04-21,21-Mar,0.8,0.98,0.18,22.5
RJF,2021-04-28,21-Mar,1.39,1.67,0.28,20.14
RKT,2021-05-05,21-Mar,0.91,0.89,-0.02,-2.2
RL,2021-05-20,21-Mar,-0.73,0.38,1.11,152.05
RMD,2021-04-29,21-Mar,1.22,1.3,0.08,6.56
RNG,2021-05-04,21-Mar,0.25,0.27,0.02,8
RNR,2021-04-28,21-Mar,0.74,0.09,-0.65,-87.84
ROK,2021-04-28,21-Mar,2.15,2.41,0.26,12.09
ROKU,2021-05-06,21-Mar,-0.12,0.54,0.66,550
ROL,2021-04-28,21-Mar,0.11,0.14,0.03,27.27
ROP,2021-04-27,21-Mar,3.32,3.6,0.28,8.43
ROST,2021-05-20,21-Apr,0.9,1.34,0.44,48.89
RPM,2021-04-07,21-Feb,0.34,0.38,0.04,11.76
RPRX,2021-05-11,21-Mar,0.65,0.67,0.02,3.08
RS,2021-04-22,21-Mar,3.69,4.1,0.41,11.11
RSG,2021-05-05,21-Mar,0.86,0.93,0.07,8.14
RUN,2021-05-05,21-Mar,-0.03,-0.11,-0.08,-266.67
RYN,2021-05-05,21-Mar,0.08,0.08,0,0
SABR,2021-05-04,21-Mar,-0.51,-0.72,-0.21,-41.18
SAGE,2021-05-04,21-Mar,-1.98,-1.64,0.34,17.17
SAIC,2021-06-03,21-Apr,1.49,1.94,0.45,30.2
SAM,2021-04-22,21-Mar,2.39,4.58,2.19,91.63
SBAC,2021-04-26,21-Mar,2.45,-0.11,-2.56,-104.49
SBNY,2021-04-21,21-Mar,2.83,3.24,0.41,14.49
SBUX,2021-04-27,21-Mar,0.52,0.62,0.1,19.23
SC,2021-04-28,21-Mar,1.45,2.42,0.97,66.9
SCCO,2021-04-28,21-Mar,0.89,0.99,0.1,11.24
SCHW,2021-04-15,21-Mar,0.82,0.84,0.02,2.44
SCI,2021-05-03,21-Mar,0.98,1.32,0.34,34.69
SEE,2021-05-04,21-Mar,0.71,0.78,0.07,9.86
SEIC,2021-04-21,21-Mar,0.9,0.89,-0.01,-1.11
SGEN,2021-04-29,21-Mar,-0.59,-0.67,-0.08,-13.56
SHW,2021-04-27,21-Mar,1.65,2.06,0.41,24.85
SIRI,2021-04-28,21-Mar,0.06,0.07,0.01,16.67
SITE,2021-05-05,21-Mar,-0.44,0.16,0.6,136.36
SIVB,2021-04-22,21-Mar,6.94,10.03,3.09,44.52
SIX,2021-04-28,21-Mar,-1.29,-1.12,0.17,13.18
SJM,2021-06-03,21-Apr,1.68,1.89,0.21,12.5
SKX,2021-04-22,21-Mar,0.49,0.63,0.14,28.57
SLB,2021-04-23,21-Mar,0.19,0.21,0.02,10.53
SLG,2021-04-21,21-Mar,1.58,-0.11,-1.69,-106.96
SLGN,2021-04-28,21-Mar,0.71,0.75,0.04,5.63
SLM,2021-04-21,21-Mar,1,1.77,0.77,77
SMAR,2021-06-02,21-Apr,-0.14,-0.09,0.05,35.71
SMG,2021-05-05,21-Mar,5.51,5.64,0.13,2.36
SNA,2021-04-22,21-Mar,3.01,3.5,0.49,16.28
SNDR,2021-04-29,21-Mar,0.29,0.31,0.02,6.9
SNOW,2021-05-26,21-Apr,-0.16,-0.24,-0.08,-50
SNPS,2021-05-19,21-Apr,1.52,1.7,0.18,11.84
SNV,2021-04-20,21-Mar,0.93,1.21,0.28,30.11
SNX,2021-03-22,21-Feb,1.7,1.89,0.19,11.18
SO,2021-04-29,21-Mar,0.85,0.98,0.13,15.29
SON,2021-04-22,21-Mar,0.85,0.9,0.05,5.88
SPB,2021-05-07,21-Mar,0.96,1.76,0.8,83.33
SPCE,2021-05-10,21-Mar,-0.31,-0.55,-0.24,-77.42
SPG,2021-05-10,21-Mar,2.25,1.36,-0.89,-39.56
SPGI,2021-04-29,21-Mar,3.13,3.39,0.26,8.31
SPLK,2021-06-02,21-Apr,-0.72,-0.91,-0.19,-26.39
SPOT,2021-04-28,21-Mar,-0.61,-0.3,0.31,50.82
SPR,2021-05-05,21-Mar,-0.93,-1.22,-0.29,-31.18
SQ,2021-05-06,21-Mar,0.16,0.41,0.25,156.25
SRC,2021-05-05,21-Mar,0.73,-0.04,-0.77,-105.48
SRCL,2021-04-29,21-Mar,0.59,0.71,0.12,20.34
SRE,2021-05-05,21-Mar,2.77,2.95,0.18,6.5
SRPT,2021-05-05,21-Mar,-2.01,-2.1,-0.09,-4.48
SSNC,2021-04-26,21-Mar,1.1,1.18,0.08,7.27
ST,2021-04-27,21-Mar,0.74,0.86,0.12,16.22
STE,2021-05-18,21-Mar,1.8,1.63,-0.17,-9.44
STL,2021-04-19,21-Mar,0.46,0.51,0.05,10.87
STLD,2021-04-19,21-Mar,1.98,2.1,0.12,6.06
STNE,2021-06-01,21-Mar,0.16,0.09,-0.07,-43.75
STOR,2021-05-06,21-Mar,0.45,0.21,-0.24,-53.33
STT,2021-04-16,21-Mar,1.34,1.47,0.13,9.7
STWD,2021-05-06,21-Mar,0.51,0.5,-0.01,-1.96
STZ,2021-04-08,21-Feb,1.49,1.82,0.33,22.15
SUI,2021-04-26,21-Mar,1.16,0.23,-0.93,-80.17
SWCH,2021-05-10,21-Mar,0.05,0.08,0.03,60
SWI,2021-04-29,21-Mar,0.38,0.46,0.08,21.05
SWK,2021-04-28,21-Mar,2.56,3.13,0.57,22.27
SWKS,2021-04-29,21-Mar,2.34,2.37,0.03,1.28
SYF,2021-04-27,21-Mar,1.5,1.73,0.23,15.33
SYK,2021-04-27,21-Mar,1.98,1.93,-0.05,-2.53
SYNH,2021-04-29,21-Mar,0.74,0.79,0.05,6.76
SYY,2021-05-04,21-Mar,0.2,0.22,0.02,10
T,2021-04-22,21-Mar,0.77,0.86,0.09,11.69
TAP,2021-04-29,21-Mar,-0.12,0.01,0.13,108.33
TDC,2021-05-06,21-Mar,0.62,0.69,0.07,11.29
TDG,2021-05-11,21-Mar,2.52,2.58,0.06,2.38
TDOC,2021-04-28,21-Mar,-0.57,0.13,0.7,122.81
TDY,2021-04-28,21-Mar,2.59,3.02,0.43,16.6
TEAM,2021-04-29,21-Mar,0.29,0.48,0.19,65.52
TECH,2021-05-06,21-Mar,1.5,1.79,0.29,19.33
TER,2021-04-27,21-Mar,1.04,1.11,0.07,6.73
TFSL,2021-04-29,21-Mar,0.07,0.08,0.01,14.29
TFX,2021-04-29,21-Mar,2.44,2.87,0.43,17.62
TGT,2021-05-19,21-Apr,2.26,3.69,1.43,63.27
THG,2021-04-29,21-Mar,0.75,1.66,0.91,121.33
THO,2021-06-08,21-Apr,2.36,3.29,0.93,39.41
TJX,2021-05-19,21-Apr,0.31,0.44,0.13,41.94
TKR,2021-04-28,21-Mar,1.2,1.38,0.18,15
TMO,2021-04-29,21-Mar,6.69,7.21,0.52,7.77
TMUS,2021-05-04,21-Mar,0.55,0.92,0.37,67.27
TMX,2021-05-06,21-Mar,0.21,0.3,0.09,42.86
TNDM,2021-05-05,21-Mar,-0.15,-0.07,0.08,53.33
TNL,2021-04-28,21-Mar,0.17,0.39,0.22,129.41
TOL,2021-05-25,21-Apr,0.8,1.01,0.21,26.25
TPL,2021-05-06,21-Mar,5.77,6.45,0.68,11.79
TPR,2021-05-06,21-Mar,0.3,0.51,0.21,70
TPX,2021-04-29,21-Mar,0.51,0.64,0.13,25.49
TREX,2021-05-10,21-Mar,0.38,0.42,0.04,10.53
TRGP,2021-05-06,21-Mar,0.15,0.53,0.38,253.33
TRIP,2021-05-06,21-Mar,-0.31,-0.39,-0.08,-25.81
